,,,,,,,,kharif season,,,Rabi Season,,,,,,,
Name of the Zone,District ,Soil Type,Crop,Annual Rainfall (mm),Min-Temperature(Degrees Celsius),Max-Temperature(Degrees Celsius),Year,Area(Hectare)k,Production (Tonnes)k,Yield (Tonne/Hectare)k,Area(Hectare),Production (Tonnes),Yield (Tonne/Hectare),Market Price(max),Market price (min),Average Market price,"Area Irrigated more than once
More than Once",Gross area irrigated
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",Soyabean,1162,15.7,39.9,2022-2023,54555,86361,1.58,55,61,1.11,"
5004.20",4576.2,4576.2,264915,246930
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",Cotton,1162,15.7,39.9,2022-2023,150384,476806,3.17,9,29,3.22,7461.84,7172.37,7317.105,264915,246930
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",Maize,1162,15.7,39.9,2022-2023,1002,4563,4.55,5787,34091,5.89,2128.1,2098.1,2113.1,264915,246930
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",Sorghum,1162,15.7,39.9,2022-2023,1199,504,0.42,15699,22983,1.46,2920.75,2920.75,2920.75,264915,246930
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",Red Gram,1162,15.7,39.9,2022-2023,4,6,1.5,43620,70054,1.61,7192.33,6955.67,7074,264915,246930
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",rice,1162,15.7,39.9,2022-2023,671,2347,3.5,197,679,3.45,2500,2500,2500,264915,246930
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",wheat,1162,15.7,39.9,2022-2023,21,43,2.05,1236,2559,2.07,2424.33,2215,2319.665,264915,246930
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",Sesame,1162,15.7,39.9,2022-2023,0,0,0,216,104,0.48,10411,10211,10311,264915,246930
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",groundnut,1162,15.7,39.9,2022-2023,2,5,2.5,357,825,2.31,5938.5,5938.5,5938.5,264915,246930
Northern Telangana Zone,Adilabad,"Black Soil, Red Soil, Sandy",onion,1162,15.7,39.9,2022-2023,0,0,0,1,26,26,5000,5000,5000,264915,246930
Central Telangana Zone,Bhadradri Kothagudem,"Clayey Soil, Alluvial Soil",Rice,1213,18.3,37.2,2022-2023,66484,230699,3.47,25261,90258,3.57,2300,2300,2300,331433,331433
Central Telangana Zone,Bhadradri Kothagudem,"Clayey Soil, Alluvial Soil",Cotton,1213,18.3,37.2,2022-2023,68275,236954,3.47,59,205,3.47,7200,7200,7200,331433,331433
Northern Telangana Zone,Jagtial,"Black Soil, Red Soil",Sesame,1018,16.2,39.3,2022-2023,0,0,0,4862,3812,0.78,9689,9689,9689,727211,738953
Northern Telangana Zone,Jagtial,"Black Soil, Red Soil",Red Gram,1018,16.2,39.3,2022-2023,0,0,0,108,222,2.06,6659,3500,5079.5,727211,738953
Northern Telangana Zone,Jagtial,"Black Soil, Red Soil",Turmeric,1018,16.2,39.3,2022-2023,5943,57481,9.67,0,0,0,8181,8181,8181,727211,738953
Northern Telangana Zone,Jagtial,"Black Soil, Red Soil",Rice,1018,16.2,39.3,2022-2023,122197,441253,3.61,120927,437272,3.62,2203,2203,2203,727211,738953
Northern Telangana Zone,Jagtial,"Black Soil, Red Soil",Maize,1018,16.2,39.3,2022-2023,18869,121120,6.42,9877,69337,7.02,2272,1965,2118.5,727211,738953
Central Telangana Zone,Jangaon,"Black Soil, Red Soil, Clayey Soil",Green Gram,858,17.4,38.8,2022-2023,487,239,0.49,22,5,0.23,5511,5511,5511,451775,451775
Central Telangana Zone,Jangaon,"Black Soil, Red Soil, Clayey Soil",Groundnut,858,17.4,38.8,2022-2023,551,1564,2.84,1113,4835,4.34,6625,5401,6013,451775,451775
Central Telangana Zone,Jangaon,"Black Soil, Red Soil, Clayey Soil",Maize,858,17.4,38.8,2022-2023,1637,8182,5,3741,22027,5.89,2271,1901,2086,451775,451775
Central Telangana Zone,Jangaon,"Black Soil, Red Soil, Clayey Soil",Rice,858,17.4,38.8,2022-2023,86366,250720,2.9,78000,168558,2.16,206,206,206,451775,451775
Central Telangana Zone,Jangaon,"Black Soil, Red Soil, Clayey Soil",Red Gram,858,17.4,38.8,2022-2023,4,3,0.75,8,5,0.63,7550,7550,7550,451775,451775
Central Telangana Zone,Jayashankar Bhupalpally,"Black Soil, Red Soil, Clayey Soil",Rice,1185,17.2,38.3,2022-2023,44401,144436,3.25,34104,105484,3.09,2040,2040,2040,268832,268832
Central Telangana Zone,Jayashankar Bhupalpally,"Black Soil, Red Soil, Clayey Soil",Cotton,1185,17.2,38.3,2022-2023,40889,164037,4.01,13,52,4,6380,6380,6380,268832,268832
Central Telangana Zone,Jayashankar Bhupalpally,"Black Soil, Red Soil, Clayey Soil",Red Gram,1185,17.2,38.3,2022-2023,0,0,0,12,19,1.58,6600,6600,6600,268832,268832
Central Telangana Zone,Jayashankar Bhupalpally,"Black Soil, Red Soil, Clayey Soil",Dry Chillies,1185,17.2,38.3,2022-2023,6554,27350,4.17,515,2182,4.24,16494.7,12404.5,14449.6,268832,268832
Central Telangana Zone,Jayashankar Bhupalpally,"Black Soil, Red Soil, Clayey Soil",Maize,1185,17.2,38.3,2022-2023,85,387,4.55,4464,31494,7.06,1962,1962,1962,268832,268832
Central Telangana Zone,Jayashankar Bhupalpally,"Black Soil, Red Soil, Clayey Soil",Green Gram,1185,17.2,38.3,2022-2023,15,13,0.87,23,26,1.13,7755,7755,7755,268832,268832
Southern Telangana Zone,Jogulamba Gadwal,"Black Soil, Red Soil, Sandy Loam",Red Gram,606,17.7,38.9,2022-2023,0,0,0,6200,9164,1.48,7059,5819,6439,439638,440816
Southern Telangana Zone,Jogulamba Gadwal,"Black Soil, Red Soil, Sandy Loam",Castor,606,17.7,38.9,2022-2023,500,451,0.9,1131,1492,1.32,5711,5519,5615,439638,440816
Southern Telangana Zone,Jogulamba Gadwal,"Black Soil, Red Soil, Sandy Loam",Groundnut,606,17.7,38.9,2022-2023,2269,4967,2.19,6572,13387,2.04,6349,2729,4539,439638,440816
Southern Telangana Zone,Jogulamba Gadwal,"Black Soil, Red Soil, Sandy Loam",Rice,606,17.7,38.9,2022-2023,4372,18104,4.14,13175,49683,3.77,2369,2369,2369,439638,440816
Northern Telangana Zone,Kamareddy,"Black Soil, Sandy Loam, Clayey Soil",Green Gram,989,16.2,38.7,2022-2023,2560,2025,0.79,2,2,1,7373,7373,7373,603491,649486
Northern Telangana Zone,Kamareddy,"Black Soil, Sandy Loam, Clayey Soil",Red Gram,989,16.2,38.7,2022-2023,0,0,0,35633,55873,1.57,7029,6809,6919,603491,649486
Northern Telangana Zone,Kamareddy,"Black Soil, Sandy Loam, Clayey Soil",Soyabean,989,16.2,38.7,2022-2023,36290,49572,1.37,666,1036,1.56,3912,3912,3912,603491,649486
Northern Telangana Zone,Kamareddy,"Black Soil, Sandy Loam, Clayey Soil",Maize,989,16.2,38.7,2022-2023,30149,133228,4.42,15398,97177,6.31,2407,2407,2407,603491,649486
Northern Telangana Zone,Kamareddy,"Black Soil, Sandy Loam, Clayey Soil",Sorghum(white),989,16.2,38.7,2022-2023,20,14,0.7,7790,30630,3.93,1805,1805,1805,603491,649486
Northern Telangana Zone,Karimnagar,"Black Soil, Red Soil",Rice,902,16.9,38.9,2022-2023,110266,359357,3.26,109804,346432,3.16,2207.05,2198.64,2202.845,599419,599419
Northern Telangana Zone,Karimnagar,"Black Soil, Red Soil",Red Gram,902,16.9,38.9,2022-2023,0,0,0,19,20,1.05,5750.67,4751.67,5251.17,599419,599419
Northern Telangana Zone,Karimnagar,"Black Soil, Red Soil",Green Gram,902,16.9,38.9,2022-2023,50,25,0.5,16,11,0.69,7495.5,7495.5,7495.5,599419,599419
Northern Telangana Zone,Karimnagar,"Black Soil, Red Soil",Sesame,902,16.9,38.9,2022-2023,0,0,0,13,10,0.77,10359,10359,10359,599419,599419
