Annual_Rainfall_(mm),Min_Temperature_(°C),Max_Temperature_(°C),Year,Kharif_Area_(Hectare),Kharif_Production_(Tonnes),Kharif_Yield_(Tonne/Hectare),Rabi_Area_(Hectare),Rabi_Production_(Tonnes),Rabi_Yield_(Tonne/Hectare),Market_Price_Max,Market_Price_Min,Average_Market_Price,Area_Irrigated,Gross_Area_Irrigated,Alluvial Soil,Black Soil,Clayey Soil,Red Soil,Sandy,Sandy Loam,Zone_Central Telangana Zone,Zone_Northern Telangana Zone,Zone_Southern Telangana Zone,District_Adilabad,District_Bhadradri Kothagudem,District_Jagtial,District_Jangaon,District_Jayashankar Bhupalpally,District_Jogulamba Gadwal,District_Kamareddy,District_Karimnagar,District_Khammam,District_Komaram Bheem Asifabad,District_Mahabubabad,District_Mahbubnagar,District_Mancherial,District_Medak,District_Medchal Malkajgiri,District_Mulugu,District_Nagarkurnool,District_Nalgonda,District_Nirmal,District_Nizamabad,District_Peddapalli,District_Rajanna Sircilla,District_Rangareddy,District_Siddipet,District_Suryapet,District_Vikarabad,District_Wanaparthy,District_Warangal Rural,District_Warangal Urban,District_Yadadri Bhuvanagiri,Crop_Bengal Gram,Crop_Black Gram,Crop_Castor,Crop_Cotton,Crop_Cowpea,Crop_Dry Chillies,Crop_Green Gram,Crop_Groundnut,Crop_Maize,Crop_Minor Millets,Crop_Red Gram,Crop_Rice,Crop_Sesame,Crop_Sorghum,Crop_Sorghum(white),Crop_Soyabean,Crop_Sunflower,Crop_Turmeric,Crop_wheat,season_Kharif,season_Rabi,Kharif_Revenue,Rabi_Revenue
1162.0,15.7,39.9,2022-2023,54555.0,86361.0,1.58,55.0,61.0,1.11,5004.2,4576.2,4576.2,264915.0,246930.0,0,1,0,1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,394454253.78,279377.01
1162.0,15.7,39.9,2022-2023,150384.0,476806.0,3.17,9.0,29.0,3.22,7461.84,7172.37,7317.105,264915.0,246930.0,0,1,0,1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3488190393.0744,212049.70289999997
1162.0,15.7,39.9,2022-2023,1002.0,4563.0,4.55,5787.0,34091.0,5.89,2128.1,2098.1,2113.1,264915.0,246930.0,0,1,0,1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,9633834.209999999,72025922.133
1162.0,15.7,39.9,2022-2023,1199.0,504.0,0.42,15699.0,22983.0,1.46,2920.75,2920.75,2920.75,264915.0,246930.0,0,1,0,1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1470831.285,66945167.205
1162.0,15.7,39.9,2022-2023,4.0,6.0,1.5,43620.0,70054.0,1.61,7192.33,6955.67,7074.0,264915.0,246930.0,0,1,0,1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,42444.0,496794286.8000001
1162.0,15.7,39.9,2022-2023,671.0,2347.0,3.5,197.0,679.0,3.45,2500.0,2500.0,2500.0,264915.0,246930.0,0,1,0,1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,5871250.0,1699125.0
1162.0,15.7,39.9,2022-2023,21.0,43.0,2.05,1236.0,2559.0,2.07,2424.33,2215.0,2319.665,264915.0,246930.0,0,1,0,1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,99861.57824999999,5934909.2957999995
1162.0,15.7,39.9,2022-2023,0.0,0.0,0.0,216.0,104.0,0.48,10411.0,10211.0,10311.0,264915.0,246930.0,0,1,0,1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.0,1069044.48
1162.0,15.7,39.9,2022-2023,2.0,5.0,2.5,357.0,825.0,2.31,5938.5,5938.5,5938.5,264915.0,246930.0,0,1,0,1,1,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,29692.5,4897302.795
1213.0,18.3,37.2,2022-2023,66484.0,230699.0,3.47,25261.0,90258.0,3.57,2300.0,2300.0,2300.0,331433.0,331433.0,1,0,1,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,530608804.0,207418071.0
1213.0,18.3,37.2,2022-2023,68275.0,236954.0,3.47,59.0,205.0,3.47,7200.0,7200.0,7200.0,331433.0,331433.0,1,0,1,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1705782600.0,1474056.0
1018.0,16.2,39.3,2022-2023,0.0,0.0,0.0,4862.0,3812.0,0.78,9689.0,9689.0,9689.0,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.0,36744176.04
1018.0,16.2,39.3,2022-2023,0.0,0.0,0.0,108.0,222.0,2.06,6659.0,3500.0,5079.5,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,1130087.1600000001
1018.0,16.2,39.3,2022-2023,5943.0,57481.0,9.67,0.0,0.0,0.0,8181.0,8181.0,8181.0,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,470152334.61,0.0
1018.0,16.2,39.3,2022-2023,122197.0,441253.0,3.61,120927.0,437272.0,3.62,2203.0,2203.0,2203.0,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,971811967.51,964375895.22
1018.0,16.2,39.3,2022-2023,18869.0,121120.0,6.42,9877.0,69337.0,7.02,2272.0,1965.0,2118.5,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,256632929.13,146889459.98999998
858.0,17.4,38.8,2022-2023,487.0,239.0,0.49,22.0,5.0,0.23,5511.0,5511.0,5511.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1315089.93,27885.66
858.0,17.4,38.8,2022-2023,551.0,1564.0,2.84,1113.0,4835.0,4.34,6625.0,5401.0,6013.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,9409382.92,29045315.459999997
858.0,17.4,38.8,2022-2023,1637.0,8182.0,5.0,3741.0,22027.0,5.89,2271.0,1901.0,2086.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,17073910.0,45963946.13999999
858.0,17.4,38.8,2022-2023,86366.0,250720.0,2.9,78000.0,168558.0,2.16,206.0,206.0,206.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,51595048.4,34706880.0
858.0,17.4,38.8,2022-2023,4.0,3.0,0.75,8.0,5.0,0.63,7550.0,7550.0,7550.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,22650.0,38052.0
1185.0,17.2,38.3,2022-2023,44401.0,144436.0,3.25,34104.0,105484.0,3.09,2060.0,2060.0,2060.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,297264695.0,217085601.6
1185.0,17.2,38.3,2022-2023,40889.0,164037.0,4.01,13.0,52.0,4.0,6380.0,6380.0,6380.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1046095998.1999999,331760.0
1185.0,17.2,38.3,2022-2023,0.0,0.0,0.0,12.0,19.0,1.58,6600.0,6600.0,6600.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,125136.0
1185.0,17.2,38.3,2022-2023,6554.0,27350.0,4.17,515.0,2182.0,4.24,16494.7,12404.5,14449.6,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,394910168.92800003,31552146.560000002
1185.0,17.2,38.3,2022-2023,85.0,387.0,4.55,4464.0,31494.0,7.06,1962.0,1962.0,1962.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,758803.5,61834078.08
1185.0,17.2,38.3,2022-2023,15.0,13.0,0.87,23.0,26.0,1.13,7755.0,7755.0,7755.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,101202.75,201552.44999999998
606.0,17.7,38.9,2022-2023,0.0,0.0,0.0,6200.0,9164.0,1.48,7059.0,5819.0,6439.0,439638.0,440816.0,0,1,0,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,59084263.99999999
606.0,17.7,38.9,2022-2023,500.0,451.0,0.9,1131.0,1492.0,1.32,5711.0,5519.0,5615.0,439638.0,440816.0,0,1,0,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2526750.0,8382745.8
606.0,17.7,38.9,2022-2023,2269.0,4967.0,2.19,6572.0,13387.0,2.04,6349.0,2729.0,4539.0,439638.0,440816.0,0,1,0,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,22554790.29,60853828.32
